suite,dataset,seed,method,family,solver_variant,sampling_scheme,subsample_size,selected_c,encoded_feature_count,val_log_loss,test_log_loss,test_roc_auc,test_accuracy,selection_runtime_sec,best_fit_runtime_sec,n_iter,converged
full,mushroom,3,ifsn-safe-fresh-s32,ifsn,safe,fresh,32,10.0,117,0.12904795832929794,0.13552455969522573,0.9988652044447672,0.9858635525507068,7.418957100000057,2.760141200000021,200,0
full,mushroom,3,ifsn-safe-fresh-s64,ifsn,safe,fresh,64,10.0,117,0.10144009926054079,0.10337319148649686,0.9997200837630426,0.9926244622003688,10.786061300000028,3.8187421000000086,200,0
full,mushroom,3,ifsn-safe-fresh-s128,ifsn,safe,fresh,128,10.0,117,0.08625993536189462,0.08877444655824861,0.999931912266686,0.9956976029502151,17.504985000000033,6.370671300000026,200,0
full,mushroom,3,ifsn-safe-fresh-full,ifsn,safe,fresh,,10.0,117,0.07091169040684812,0.07198352498952969,1.0,1.0,9.502901599999973,4.616109599999959,5,1
full,mushroom,3,ifsn-reference-fixed-s32,ifsn,reference,fixed,32,10.0,117,0.1959694297484536,0.1858710375175619,0.983156607838865,0.9422249539028887,0.1307041999999683,0.057617400000026464,7,1
full,mushroom,3,ifsn-reference-fixed-s64,ifsn,reference,fixed,64,10.0,117,0.17060370213122064,0.15201649421997376,0.9823410680998378,0.9600491702519975,0.2149091999999655,0.09491290000005392,7,1
full,mushroom,3,ifsn-reference-fixed-s128,ifsn,reference,fixed,128,10.0,117,0.0921449208563327,0.09752901202459978,0.9972674123029995,0.9913952059004303,0.35828619999995226,0.156089399999928,7,1
full,mushroom,3,ifsn-reference-fixed-full,ifsn,reference,fixed,,10.0,117,0.07091162482129387,0.07198345975472116,1.0,1.0,11.692973700000039,5.103698699999995,6,1
full,mushroom,3,ifsn-reference-fresh-s32,ifsn,reference,fresh,32,10.0,117,0.3235270346451429,0.3097878282052545,0.9740162079066502,0.8721573448063922,3.7200924999999643,1.2530347000000575,200,0
full,mushroom,3,ifsn-reference-fresh-s64,ifsn,reference,fresh,64,10.0,117,0.17684162582054166,0.16657906412405232,0.986695656910451,0.9551321450522434,6.403634899999929,2.138681799999972,200,0
full,mushroom,3,ifsn-reference-fresh-s128,ifsn,reference,fresh,128,10.0,117,0.12874676301391894,0.11644297984546056,0.9902664802575835,0.9815611555009219,12.389091199999939,4.35771479999994,200,0
full,mushroom,3,ifsn-reference-fresh-full,ifsn,reference,fresh,,10.0,117,0.07091162482129387,0.07198345975472116,1.0,1.0,12.162500200000068,5.847695599999952,6,1
full,mushroom,4,sklearn-lbfgs,sklearn,lbfgs,,,0.0020521239482864766,117,0.07081395275083097,0.07334177506269886,0.9999425036918682,0.9993853718500307,0.05805490000000191,0.02549260000000686,21,1
full,mushroom,4,sklearn-liblinear,sklearn,liblinear,,,0.0020521239482864766,117,0.07083356696155868,0.07335123567785946,0.9999394775703876,0.9993853718500307,0.20723350000002938,0.10372640000002775,8,1
full,mushroom,4,sklearn-saga,sklearn,saga,,,0.0020521239482864766,117,0.07081395457273586,0.07334177563476578,0.9999425036918682,0.9993853718500307,1.2698234000000639,0.788301400000023,130,1
full,mushroom,4,ifsn-safe-fixed-s32,ifsn,safe,fixed,32,10.0,117,0.17627619789207144,0.1773967586083535,0.978880698186748,0.9459127228027043,10.343163799999957,3.4469830000000456,200,0
full,mushroom,4,ifsn-safe-fixed-s64,ifsn,safe,fixed,64,10.0,117,0.12796664729835525,0.11885925316264757,0.997781852954705,0.9704978488014752,12.909676800000057,4.470548399999984,200,0
full,mushroom,4,ifsn-safe-fixed-s128,ifsn,safe,fixed,128,10.0,117,0.08890249070197917,0.08937573759465302,0.9993584622461084,0.9913952059004303,18.946231900000043,6.411661200000026,200,0
full,mushroom,4,ifsn-safe-fixed-full,ifsn,safe,fixed,,10.0,117,0.07081401708377043,0.07334184169131705,0.9999425036918682,0.9993853718500307,9.026913700000023,4.094339399999967,5,1
full,mushroom,4,ifsn-safe-fresh-s32,ifsn,safe,fresh,32,10.0,117,0.1373601192521131,0.13566955427556698,0.998620088604837,0.9778733866011063,7.734235799999851,2.7641033999999536,200,0
full,mushroom,4,ifsn-safe-fresh-s64,ifsn,safe,fresh,64,10.0,117,0.10386323522867419,0.10203194918739843,0.9999546081777907,0.9981561155500922,11.010826699999939,3.9311622999999827,200,0
full,mushroom,4,ifsn-safe-fresh-s128,ifsn,safe,fresh,128,10.0,117,0.08652727463299946,0.08709421081459943,0.9999046771733604,0.9987707437000615,17.979140500000085,5.980791500000009,200,0
full,mushroom,4,ifsn-safe-fresh-full,ifsn,safe,fresh,,10.0,117,0.07081401708377043,0.07334184169131705,0.9999425036918682,0.9993853718500307,9.027018200000043,4.071772800000076,5,1
full,mushroom,4,ifsn-reference-fixed-s32,ifsn,reference,fixed,32,10.0,117,0.17430111942228144,0.17548462331370052,0.978617425617934,0.9459127228027043,0.1001090000000886,0.042413699999997334,7,1
full,mushroom,4,ifsn-reference-fixed-s64,ifsn,reference,fixed,64,10.0,117,0.1256102186167039,0.11609985594597967,0.9977531048006392,0.9704978488014752,0.17492009999989477,0.07830879999994522,7,1
full,mushroom,4,ifsn-reference-fixed-s128,ifsn,reference,fixed,128,10.0,117,0.08882133555609875,0.0892849836054831,0.9993569491853681,0.9913952059004303,0.3016604000000598,0.14059959999997318,7,1
full,mushroom,4,ifsn-reference-fixed-full,ifsn,reference,fixed,,10.0,117,0.07081395383202363,0.07334177533098082,0.9999425036918682,0.9993853718500307,11.899836699999923,5.0906195000000025,6,1
full,mushroom,4,ifsn-reference-fresh-s32,ifsn,reference,fresh,32,1.0,117,0.32447217178347126,0.3156578539733305,0.9842233156607839,0.9225568531038721,2.9744005000000016,1.3296232999999802,200,0
full,mushroom,4,ifsn-reference-fresh-s64,ifsn,reference,fresh,64,10.0,117,0.17857051605307792,0.15917225471741964,0.9936784322269833,0.9551321450522434,7.135794699999906,2.504515099999935,200,0
full,mushroom,4,ifsn-reference-fresh-s128,ifsn,reference,fresh,128,10.0,117,0.11107124749545488,0.10237088011447021,0.9996323262401046,0.9944683466502766,13.629707199999984,4.68588079999995,200,0
full,mushroom,4,ifsn-reference-fresh-full,ifsn,reference,fresh,,10.0,117,0.07081395383202363,0.07334177533098082,0.9999425036918682,0.9993853718500307,11.677062800000158,4.958568200000059,6,1
